Headquarter,Address,Latitude,Longitude
North West Frontier,"Indo-Tibetan Border Police, P.O. Seema Nagar (Near Airport), Chandigarh (UT) 160003",,
North East Frontier,"Indo-Tibetan Border Police, Khating Hill, Itanagar, Arunachal Pradesh, PIN-791111",,
Northern Frontier,"Indo-Tibetan Border Police, P.O. Seemadwar, Distt:- Dehradun (UKD), PIN-248148",,
Eastern Frontier,"Indo-Tibetan Border Police, Shiela Complex, Vidhan Sabha Marg, Near Radio Station, Hazartganj, Lucknow (UP), PIN-226001",,
Central Frontier,"Indo-Tibetan Border Police, Plot No. 163-164 (E-8), Trilochan Nagar, P.O. Trilanga, Near Shahpura Bhopal (MP), PIN-462039",,
Ladakh Sector,"Indo-Tibetan Border Police, C/O 56 APO Leh, PIN-434498",,
Srinagar Sector,"Indo-Tibetan Border Police, P.O.-Panthachowk, Distt-Srinagar (J&K), PIN-191101",,
Delhi Sector,"Indo-Tibetan Border Police, P.O. Mandangir, Tigri Camp, New Delhi-PIN110062",,
Tezpur Sector,"Indo-Tibetan Border Police, P.O. Chandmari, Hazratpur, No. I Railgate Lachit Bazar, Tezpur, Distt- Sonitpur (Assam), PIN-784001",,
Dibrugarh Sector,"Indo-Tibetan Border Police, P.O. Mohanbari, Distt-Dibrugarh (Assam), PIN-786012",,
Itanagar Sector,"Indo-Tibetan Border Police, P.O. Itanagar, Distt-Papumpare, Arunachal Pradesh, PIN-791111",,
Dehradun Sector,"Indo-Tibetan Border Police, P.O. Seemadwar, Distt-Dehradun (UKD), PIN-248146",,
Shimla Sector,"Indo-Tibetan Border Police, P.O. Taradevi, Distt- Shimla, Himachal Pradesh, PIN-171010",,
Bareilly Sector,"Indo-Tibetan Border Police, P.O. ITBP Bareilly, Distt:-Bareilly(UP), PIN-243001",,
Lucknow Sector,"Indo-Tibetan Border Police, Hall No.04, 07th Floor, Kendriya Bhawan Sector-H, Aliganj, Lucknow(UP), PIN-206024",,
Gangtok Sector,"Indo-Tibetan Border Police, P.O. Samdur (Tadong), Distt-Gangtok (East Sikkim), PIN-737102",,
Bengaluru Sector,"Indo-Tibetan Border Police, P.0.84th Bn, BSF Campus, Karahalli Kattiennnhalli, Devenhalli Taluk, Distt-Bengaluru (North), Karnataka, PIN-562110",,
Bhubaneswar Sector,"Indo-Tibetan Border Police, Vikram Nagar, P.O. Shardapur, Distt- Khurda (Odisha), PIN-752057",,
